WEAPON SOURCE COUNTRY,Location.Cordinates.Latitude,Location.Cordinates.Longitude,Data.Yeild.Upper,Data.Name,Date.Year
USA,32.54,-105.57,21,Trinity,1945
USA,34.23,132.27,15,Littleboy,1945
USA,32.45,129.52,21,Fatman,1945
USA,11.35,165.2,21,Able,1946
USA,11.35,165.2,21,Baker,1946
USA,11.3,162.15,37,X-Ray,1948
USA,11.3,162.15,49,Yoke,1948
USA,11.3,162.15,18,Zebra,1948
USSR,48,76,22,Nan,1949
USA,37,-116,1,Able,1951
USA,37,-116,8,Baker,1951
USA,37,-116,1,Easy,1951
USA,37,-116,8,Baker2,1951
USA,37,-116,22,Fox,1951
USA,11.3,162.15,81,Dog,1951
USA,11.3,162.15,47,Easy,1951
USA,11.3,162.15,225,George,1951
USA,11.3,162.15,45.5,Item,1951
USSR,48,76,38,Nan,1951
USSR,48,76,42,Nan,1951
USA,37,-116,0.1,Able,1951
USA,37,-116,3.5,Baker,1951
USA,37,-116,14,Charlie,1951
USA,37,-116,21,Dog,1951
USA,37,-116,31,Easy,1951
USA,37,-116,1.2,Sugar,1951
USA,37,-116,1.2,Uncle,1951
USA,37,-116,1,Able,1952
USA,37,-116,1,Baker,1952
USA,37,-116,31,Charlie,1952
USA,37,-116,19,Dog,1952
USA,37,-116,12,Easy,1952
USA,37,-116,11,Fox,1952
USA,37,-116,15,George,1952
USA,37,-116,14,How,1952
UK,-20.4,115.57,25,Hurricane,1952
USA,11.3,162.15,10400,Mike,1952
USA,11.3,162.15,500,King,1952
USA,37,-116,16,Annie,1953
USA,37,-116,24,Nancy,1953
USA,37,-116,0.2,Ruth,1953
USA,37,-116,11,Dixie,1953
USA,37,-116,0.2,Ray,1953
USA,37,-116,23,Badger,1953
USA,37,-116,43,Simon,1953
USA,37,-116,27,Encore,1953
USA,37,-116,32,Harry,1953
USA,37,-116,15,Grable,1953
USA,37,-116,61,Climax,1953
USSR,50,78,400,Nan,1953
USSR,50,78,28,Nan,1953
USSR,50,78,5.8,Nan,1953
USSR,50,78,1.6,Nan,1953
USSR,50,78,4.9,Nan,1953
UK,-28.7,132.35,10,Totem:1,1953
UK,-28.7,132.35,8,Totem:2,1953
USA,11.35,165.2,15000,Bravo,1954
USA,11.35,165.2,11000,Romeo,1954
USA,11.35,165.2,110,Koon,1954
USA,11.35,165.2,6900,Union,1954
USA,11.35,165.2,13500,Yankee,1954
USA,11.3,162.15,1690,Nectar,1954
USSR,52,55,40,Nan,1954
USSR,50,78,0.2,Nan,1954
USSR,50,78,0.03,Nan,1954
USSR,50,78,2,Nan,1954
USSR,50,78,4,Nan,1954
USSR,50,78,0.8,Nan,1954
USSR,50,78,0.001,Nan,1954
USSR,50,78,62,Nan,1954
USSR,50,78,2.8,Nan,1954
USSR,50,78,10,Nan,1954
USA,37,-116,1,Wasp,1955
USA,37,-116,2,Moth,1955
USA,37,-116,7,Tesla,1955
USA,37,-116,43,Turk,1955
USA,37,-116,4,Hornet,1955
USA,37,-116,8,Bee,1955
USA,37,-116,1,Ess,1955
USA,37,-116,14,Apple :1,1955
USA,37,-116,3,Wasp Prime,1955
USA,37,-116,3,Ha,1955
USA,37,-116,2,Post,1955
USA,37,-116,22,Met,1955
USA,37,-116,29,Apple:2,1955
USA,29,-126,30,Wigwam,1955
USA,37,-116,28,Zucchini,1955
USSR,50,78,1.3,Nan,1955
USSR,50,78,12,Nan,1955
USSR,50,78,1.2,Nan,1955
USSR,73,55,3.5,Nan,1955
USA,37,-116,0,Project 56:1,1955
USA,37,-116,0,Project 56:2,1955
USA,37,-116,0,Project 56:3,1955
USSR,50,78,250,Nan,1955
USSR,50,78,1600,Nan,1955
USA,37,-116,20,Project 56:4,1956
USSR,46,61,0.3,Nan,1956
USSR,50,78,14,Nan,1956
USSR,50,78,5.5,Nan,1956
USA,11.3,162.15,40,Lacrosse,1956
UK,-20.23,115.55,15,Mosaic:Gl,1956
USA,11.35,165.2,3800,Cherokee,1956
USA,11.35,165.2,3500,Zuni,1956
USA,11.3,162.15,0.19,Yuma,1956
USA,11.3,162.15,14.9,Erie,1956
USA,11.3,162.15,13.7,Seminole,1956
USA,11.35,165.2,365,Flathead,1956
USA,11.3,162.15,8,Blackfoot,1956
USA,11.3,162.15,1.49,Kickapoo,1956
USA,11.3,162.15,1.7,Osage,1956
UK,-20.4,115.53,60,Mosaic:G2,1956
USA,11.3,162.15,15.2,Inca,1956
USA,11.35,165.2,1100,Dakota,1956
USA,11.3,162.15,360,Mohawk,1956
USA,11.3,162.15,1850,Apache,1956
USA,11.35,165.2,4500,Navajo,1956
USA,11.35,165.2,5000,Tewa,1956
USA,11.3,162.15,250,Huron,1956
USSR,50,78,27,Nan,1956
USSR,50,78,900,Nan,1956
USSR,50,78,51,Nan,1956
USSR,50,78,38,Nan,1956
UK,-30,131,15,Buffalo: Rl,1956
UK,-30,131,1.5,Buffalo:R2,1956
UK,-30,131,3,Buffalo: R3,1956
UK,-30,131,10,Buffalo:R4,1956
USSR,50,78,900,Nan,1956
USSR,50,78,40,Nan,1956
USSR,48,46,10,Nan,1957
USSR,50,78,19,Nan,1957
USSR,50,78,42,Nan,1957
USSR,50,78,57,Nan,1957
USSR,50,78,680,Nan,1957
USSR,50,78,22,Nan,1957
USSR,50,78,320,Nan,1957
USA,37,-115,0,Project 57:1,1957
UK,-4,-155,300,Grapple:1,1957
USA,37,-116,12,Boltzmann,1957
UK,-4,-155,720,Grapple:2,1957
USA,37,-116,0.14,Franklin,1957
USA,37,-116,0.0005,Lassen,1957
USA,37,-116,10,Wilson,1957
UK,-4,-155,200,Grapple:3,1957
USA,37,-116,37,Priscilla,1957
USA,37,-116,0,Coulomb-A,1957
USA,37,-116,74,Hood,1957
USA,37,-116,17,Diablo,1957
USA,37,-116,2,John,1957
USA,37,-116,10,Kepler,1957
USA,37,-116,9.7,Owens,1957
USA,37,-116,0,Pascal-A,1957
USA,37,-116,19,Stokes,1957
USA,37,-116,0,Saturn,1957
USA,37,-116,17,Shasta,1957
USSR,50,78,520,Nan,1957
USA,37,-116,11,Doppler,1957
USSR,50,78,0.1,Nan,1957
USA,37,-116,0,Pascal-B,1957
USA,37,-116,4.7,Franklin Prime,1957
USA,37,-116,44,Smoky,1957
USA,37,-116,11,Galileo,1957
USA,37,-116,0.2,Wheeler,1957
USA,37,-116,0.3,Coulomb-B,1957
USSR,73,55,32,Nan,1957
USA,37,-116,1,Laplace,1957
USSR,50,78,5.9,Nan,1957
UK,-30,131,1,Antler:1,1957
USA,37,-116,11,Fizeau,1957
USA,37,-116,12,Newton,1957
USA,37,-116,1.7,Rainier,1957
USA,37,-116,19,Whitney,1957
USSR,73,55,1600,Nan,1957
UK,-30,131,6,Antler:2,1957
USSR,50,78,13,Nan,1957
USA,37,-116,12,Charleston,1957
USSR,73,55,2900,Nan,1957
USA,37,-116,8,Morgan,1957
UK,-30,131,25,Antler:3,1957
USSR,73,55,10,Nan,1957
UK,2,-157,1800,Grapple X,1957
USA,37,-116,0,Pascal-C,1957
USA,37,-116,0.5,Coulomb-C,1957
USSR,50,78,12,Nan,1957
USSR,50,78,1.3,Nan,1958
USSR,50,78,0.5,Nan,1958
USA,37,-116,0.001,Venus,1958
USSR,73,55,860,Nan,1958
USSR,73,55,250,Nan,1958
USSR,73,55,1500,Nan,1958
USSR,50,78,1.2,Nan,1958
USSR,73,55,40,Nan,1958
USSR,50,78,35,Nan,1958
USA,37,-116,0.001,Uranus,1958
USSR,50,78,14,Nan,1958
USSR,50,78,0.16,Nan,1958
USSR,50,78,12,Nan,1958
USSR,73,55,650,Nan,1958
USSR,50,78,18,Nan,1958
USA,12.617,163.017,1.7,Yucca,1958
UK,2,-157,3000,Grapple Y,1958
USA,11.3,162.15,18,Cactus,1958
USA,11.35,165.2,1360,Fir,1958
USA,11.3,162.15,81,Butternut,1958
USA,11.3,162.15,1370,Koa,1958
USA,11.3,162.15,9,Wahoo,1958
USA,11.3,162.15,5.9,Holly,1958
USA,11.35,165.2,25.1,Nutmeg,1958
USA,11.3,162.15,330,Yellow Wood,1958
USA,11.3,162.15,57,Magnolia,1958
